Real Estate Home Knowledge,Property ID,Address,Last Sale Date,Previous Owners Count,Equity Percentage,Mortgage Default History,Loan-to-Value (LTV) Ratio,Tax Delinquency Year,Liens Amount,Bankruptcy Status,Foreclosure Status,Years Since Last Sale,Has Liens,Low Equity,Distress
HOA Violations,1393,"123 Example St, City, State 1393",2027-02-17,4,58.77,0.0,46.33,2011,5234,0.0,0.0,-2,True,True,1
Property Damage,1394,"123 Example St, City, State 1394",2026-08-14,1,24.12,0.0,33.66,2013,4442,0.0,0.0,-1,False,True,1
Bankruptcy,1395,"123 Example St, City, State 1395",2033-06-02,3,9.28,0.0,24.56,2020,2339,0.0,0.0,-8,False,True,1
Lien,1396,"123 Example St, City, State 1396",2021-03-26,2,5.3,0.0,74.65,2013,4276,0.0,0.0,4,False,True,1
Foreclosure,1397,"123 Example St, City, State 1397",2016-08-18,3,94.2,0.0,74.86,2019,2636,0.0,0.0,9,False,True,1
Loan Modification,1398,"123 Example St, City, State 1398",2023-04-01,4,32.52,0.0,58.12,2010,5526,0.0,0.0,2,True,True,1
Unpaid Taxes,1399,"123 Example St, City, State 1399",2024-03-14,5,13.56,0.0,52.17,2022,3986,0.0,0.0,1,False,True,1
HOA Violations,1400,"123 Example St, City, State 1400",2026-09-05,4,70.27,0.0,41.25,2016,7478,0.0,0.0,-1,True,True,1
Short Sale,1401,"123 Example St, City, State 1401",2023-07-17,0,27.27,0.0,46.38,2021,8195,0.0,0.0,2,True,True,1
Lien,1402,"123 Example St, City, State 1402",2016-10-28,3,8.86,0.0,50.96,2010,7490,0.0,0.0,9,True,True,1
Foreclosure,1403,"123 Example St, City, State 1403",2027-08-10,3,81.14,0.0,34.11,2020,9679,0.0,0.0,-2,True,True,1
Short Sale,1404,"123 Example St, City, State 1404",2017-07-13,5,24.95,0.0,41.61,2014,1946,0.0,0.0,8,False,True,1
Short Sale,1405,"123 Example St, City, State 1405",2028-02-25,0,52.46,0.0,49.42,2019,8355,0.0,0.0,-3,True,True,1
Loan Modification,1406,"123 Example St, City, State 1406",2015-05-20,3,93.0,0.0,63.33,2015,7981,0.0,0.0,10,True,True,1
Loan Modification,1407,"123 Example St, City, State 1407",2019-03-03,1,74.21,0.0,66.19,2026,1057,0.0,0.0,6,False,True,0
Title Issues,1408,"123 Example St, City, State 1408",2033-08-04,5,87.95,0.0,45.58,2027,9786,0.0,0.0,-8,True,True,1
Unpaid Taxes,1409,"123 Example St, City, State 1409",2028-12-29,0,36.03,0.0,30.23,2019,4106,0.0,0.0,-3,False,True,1
Probate,1410,"123 Example St, City, State 1410",2024-06-24,2,67.73,0.0,42.79,2028,5972,0.0,0.0,1,True,True,1
Unpaid Taxes,1411,"123 Example St, City, State 1411",2033-10-07,3,74.57,0.0,46.16,2010,8065,0.0,0.0,-8,True,True,1
Probate,1412,"123 Example St, City, State 1412",2024-11-18,1,39.29,0.0,76.89,2016,5702,0.0,0.0,1,True,True,1
Bankruptcy,1413,"123 Example St, City, State 1413",2028-07-03,5,21.52,0.0,40.77,2024,9500,0.0,0.0,-3,True,True,1
Unpaid Taxes,1414,"123 Example St, City, State 1414",2018-06-24,0,21.09,0.0,40.25,2012,3741,0.0,0.0,7,False,True,1
Foreclosure,1415,"123 Example St, City, State 1415",2034-09-14,4,40.64,0.0,42.66,2015,3433,0.0,0.0,-9,False,True,1
Probate,1416,"123 Example St, City, State 1416",2029-12-06,0,90.51,0.0,57.79,2025,7904,0.0,0.0,-4,True,True,1
Lien,1417,"123 Example St, City, State 1417",2025-12-21,1,50.21,0.0,70.75,2012,9553,0.0,0.0,0,True,True,1
Loan Modification,1418,"123 Example St, City, State 1418",2031-11-25,5,56.27,0.0,63.75,2014,3505,0.0,0.0,-6,False,True,1
Foreclosure,1419,"123 Example St, City, State 1419",2022-08-02,2,81.88,0.0,71.71,2017,2027,0.0,0.0,3,False,True,1
Bankruptcy,1420,"123 Example St, City, State 1420",2031-05-04,5,37.04,0.0,55.55,2020,4639,0.0,0.0,-6,False,True,1
Lien,1421,"123 Example St, City, State 1421",2029-10-29,3,30.54,0.0,47.64,2017,5985,0.0,0.0,-4,True,True,1
Unpaid Taxes,1422,"123 Example St, City, State 1422",2022-09-22,2,72.73,0.0,20.44,2012,8946,0.0,0.0,3,True,True,1
Loan Modification,1423,"123 Example St, City, State 1423",2019-04-06,2,55.26,0.0,37.04,2026,1535,0.0,0.0,6,False,True,0
Loan Modification,1424,"123 Example St, City, State 1424",2017-07-07,5,6.35,0.0,44.95,2022,4793,0.0,0.0,8,False,True,1
Loan Modification,1425,"123 Example St, City, State 1425",2031-08-21,0,42.23,0.0,47.17,2029,9730,0.0,0.0,-6,True,True,1
Short Sale,1426,"123 Example St, City, State 1426",2030-10-22,0,56.0,0.0,69.29,2017,5947,0.0,0.0,-5,True,True,1
Bankruptcy,1427,"123 Example St, City, State 1427",2018-03-07,0,52.31,0.0,39.66,2028,4904,0.0,0.0,7,False,True,0
Foreclosure,1428,"123 Example St, City, State 1428",2015-09-03,0,31.58,0.0,61.46,2018,5964,0.0,0.0,10,True,True,1
Title Issues,1429,"123 Example St, City, State 1429",2033-03-29,2,75.94,0.0,78.37,2015,7164,0.0,0.0,-8,True,True,1
Property Damage,1430,"123 Example St, City, State 1430",2034-07-07,3,80.23,0.0,30.29,2029,7736,0.0,0.0,-9,True,True,1
Short Sale,1431,"123 Example St, City, State 1431",2023-02-18,0,46.04,0.0,55.61,2014,4712,0.0,0.0,2,False,True,1
Title Issues,1432,"123 Example St, City, State 1432",2030-01-17,1,32.08,0.0,48.45,2026,1696,0.0,0.0,-5,False,True,0
Bankruptcy,1433,"123 Example St, City, State 1433",2023-10-21,3,85.98,0.0,74.26,2010,1753,0.0,0.0,2,False,True,1
Title Issues,1434,"123 Example St, City, State 1434",2027-02-05,1,10.61,0.0,65.28,2024,6896,0.0,0.0,-2,True,True,1
Unpaid Taxes,1435,"123 Example St, City, State 1435",2020-05-30,3,23.78,0.0,36.65,2014,7598,0.0,0.0,5,True,True,1
Lien,1436,"123 Example St, City, State 1436",2029-08-01,3,80.05,0.0,33.88,2019,6990,0.0,0.0,-4,True,True,1
Foreclosure,1437,"123 Example St, City, State 1437",2022-07-17,5,7.56,0.0,52.39,2015,7682,0.0,0.0,3,True,True,1
Unpaid Taxes,1438,"123 Example St, City, State 1438",2023-11-01,4,49.02,0.0,77.96,2029,2575,0.0,0.0,2,False,True,1
Foreclosure,1439,"123 Example St, City, State 1439",2029-03-02,1,86.59,0.0,79.57,2025,4769,0.0,0.0,-4,False,True,0
Probate,1440,"123 Example St, City, State 1440",2018-02-05,3,29.84,0.0,73.55,2019,6967,0.0,0.0,7,True,True,1
Loan Modification,1441,"123 Example St, City, State 1441",2020-10-07,0,89.8,0.0,66.98,2023,8877,0.0,0.0,5,True,True,1
Short Sale,1442,"123 Example St, City, State 1442",2015-08-27,3,90.46,0.0,76.88,2024,8545,0.0,0.0,10,True,True,1
Title Issues,1443,"123 Example St, City, State 1443",2033-05-23,2,87.04,0.0,27.63,2025,2464,0.0,0.0,-8,False,True,0
Property Damage,1444,"123 Example St, City, State 1444",2031-04-20,2,29.85,0.0,70.77,2022,5475,0.0,0.0,-6,True,True,1
Bankruptcy,1445,"123 Example St, City, State 1445",2031-05-30,4,36.86,0.0,60.16,2022,7339,0.0,0.0,-6,True,True,1
Property Damage,1446,"123 Example St, City, State 1446",2034-11-29,0,25.84,0.0,73.22,2011,3642,0.0,0.0,-9,False,True,1
Loan Modification,1447,"123 Example St, City, State 1447",2018-11-05,4,29.85,0.0,54.11,2012,5922,0.0,0.0,7,True,True,1
Unpaid Taxes,1448,"123 Example St, City, State 1448",2033-03-01,2,80.39,0.0,78.7,2028,8044,0.0,0.0,-8,True,True,1
Probate,1449,"123 Example St, City, State 1449",2027-11-13,5,74.95,0.0,51.01,2022,4913,0.0,0.0,-2,False,True,1
Title Issues,1450,"123 Example St, City, State 1450",2017-01-09,2,85.6,0.0,45.9,2011,7125,0.0,0.0,8,True,True,1
Unpaid Taxes,1451,"123 Example St, City, State 1451",2032-01-31,0,5.9,0.0,57.47,2022,7579,0.0,0.0,-7,True,True,1
Short Sale,1452,"123 Example St, City, State 1452",2026-09-24,1,6.87,0.0,35.36,2025,2615,0.0,0.0,-1,False,True,1
Property Damage,1453,"123 Example St, City, State 1453",2016-11-22,0,58.04,0.0,79.13,2021,5320,0.0,0.0,9,True,True,1
Loan Modification,1454,"123 Example St, City, State 1454",2030-08-20,2,62.65,0.0,70.44,2018,2022,0.0,0.0,-5,False,True,1
Unpaid Taxes,1455,"123 Example St, City, State 1455",2025-03-19,5,9.88,0.0,54.51,2027,2027,0.0,0.0,0,False,True,1
Unpaid Taxes,1456,"123 Example St, City, State 1456",2034-05-26,5,93.68,0.0,25.6,2022,2402,0.0,0.0,-9,False,True,1
Bankruptcy,1457,"123 Example St, City, State 1457",2027-12-28,5,20.34,0.0,54.86,2028,4004,0.0,0.0,-2,False,True,1
Unpaid Taxes,1458,"123 Example St, City, State 1458",2033-02-01,4,31.83,0.0,79.33,2023,4954,0.0,0.0,-8,False,True,1
Property Damage,1459,"123 Example St, City, State 1459",2027-02-20,5,45.26,0.0,58.6,2015,2088,0.0,0.0,-2,False,True,1
Probate,1460,"123 Example St, City, State 1460",2030-01-27,2,75.96,0.0,64.27,2012,9613,0.0,0.0,-5,True,True,1
Bankruptcy,1461,"123 Example St, City, State 1461",2033-05-24,4,6.88,0.0,26.0,2016,7569,0.0,0.0,-8,True,True,1
HOA Violations,1462,"123 Example St, City, State 1462",2032-02-27,0,20.94,0.0,32.74,2024,9541,0.0,0.0,-7,True,True,1
Probate,1463,"123 Example St, City, State 1463",2020-10-01,3,14.51,0.0,73.28,2022,1184,0.0,0.0,5,False,True,1
Probate,1464,"123 Example St, City, State 1464",2016-09-06,5,48.98,0.0,20.88,2026,1448,0.0,0.0,9,False,True,1
Title Issues,1465,"123 Example St, City, State 1465",2022-11-11,1,57.91,0.0,51.2,2019,7539,0.0,0.0,3,True,True,1
Short Sale,1466,"123 Example St, City, State 1466",2033-10-24,3,41.86,0.0,71.59,2025,8831,0.0,0.0,-8,True,True,1
Probate,1467,"123 Example St, City, State 1467",2032-04-26,0,92.26,0.0,38.27,2030,5558,0.0,0.0,-7,True,True,1
Unpaid Taxes,1468,"123 Example St, City, State 1468",2017-02-26,5,41.57,0.0,33.17,2015,6729,0.0,0.0,8,True,True,1
Bankruptcy,1469,"123 Example St, City, State 1469",2020-04-26,3,87.04,0.0,54.8,2019,9938,0.0,0.0,5,True,True,1
Bankruptcy,1470,"123 Example St, City, State 1470",2021-12-25,3,6.7,0.0,76.83,2021,9344,0.0,0.0,4,True,True,1
Title Issues,1471,"123 Example St, City, State 1471",2032-03-19,1,81.91,0.0,48.69,2019,8142,0.0,0.0,-7,True,True,1
Probate,1472,"123 Example St, City, State 1472",2031-12-30,5,34.93,0.0,79.81,2025,4854,0.0,0.0,-6,False,True,1
Property Damage,1473,"123 Example St, City, State 1473",2026-12-19,1,10.11,0.0,49.7,2012,5446,0.0,0.0,-1,True,True,1
Probate,1474,"123 Example St, City, State 1474",2027-01-25,2,27.8,0.0,74.05,2014,8657,0.0,0.0,-2,True,True,1
Unpaid Taxes,1475,"123 Example St, City, State 1475",2034-09-06,0,55.42,0.0,67.16,2011,2657,0.0,0.0,-9,False,True,1
Probate,1476,"123 Example St, City, State 1476",2026-09-19,0,78.19,0.0,29.14,2014,6002,0.0,0.0,-1,True,True,1
Short Sale,1477,"123 Example St, City, State 1477",2024-08-02,3,37.68,0.0,70.07,2015,4894,0.0,0.0,1,False,True,1
Title Issues,1478,"123 Example St, City, State 1478",2020-09-08,5,40.15,0.0,51.6,2030,9290,0.0,0.0,5,True,True,1
Foreclosure,1479,"123 Example St, City, State 1479",2024-04-30,3,20.94,0.0,23.34,2012,5032,0.0,0.0,1,True,True,1
Property Damage,1480,"123 Example St, City, State 1480",2020-11-17,2,24.14,0.0,57.88,2012,4384,0.0,0.0,5,False,True,1
HOA Violations,1481,"123 Example St, City, State 1481",2032-02-13,1,44.39,0.0,45.5,2018,1399,0.0,0.0,-7,False,True,1
Loan Modification,1482,"123 Example St, City, State 1482",2015-05-03,0,50.69,0.0,67.05,2012,8062,0.0,0.0,10,True,True,1
Title Issues,1483,"123 Example St, City, State 1483",2025-11-26,1,91.87,0.0,20.87,2019,9248,0.0,0.0,0,True,True,1
Bankruptcy,1484,"123 Example St, City, State 1484",2024-01-31,5,62.83,0.0,21.02,2028,5853,0.0,0.0,1,True,True,1
Probate,1485,"123 Example St, City, State 1485",2025-05-05,0,61.67,0.0,74.69,2020,1833,0.0,0.0,0,False,True,0
Bankruptcy,1486,"123 Example St, City, State 1486",2026-11-24,1,47.97,0.0,42.43,2026,5672,0.0,0.0,-1,True,True,1
Title Issues,1487,"123 Example St, City, State 1487",2024-05-22,4,19.72,0.0,67.19,2010,6714,0.0,0.0,1,True,True,1
Loan Modification,1488,"123 Example St, City, State 1488",2029-06-08,5,12.19,0.0,35.25,2010,3932,0.0,0.0,-4,False,True,1
Bankruptcy,1489,"123 Example St, City, State 1489",2020-04-14,1,64.22,0.0,36.33,2024,8420,0.0,0.0,5,True,True,1
Short Sale,1490,"123 Example St, City, State 1490",2032-08-22,4,84.68,0.0,50.08,2011,7299,0.0,0.0,-7,True,True,1
Lien,1491,"123 Example St, City, State 1491",2033-12-05,2,75.96,0.0,74.34,2029,4799,0.0,0.0,-8,False,True,0
Loan Modification,1492,"123 Example St, City, State 1492",2031-04-15,0,21.99,0.0,60.43,2023,5617,0.0,0.0,-6,True,True,1
Probate,1493,"123 Example St, City, State 1493",2023-11-06,0,94.01,0.0,48.82,2021,2603,0.0,0.0,2,False,True,0
Lien,1494,"123 Example St, City, State 1494",2018-09-24,3,83.18,0.0,59.06,2021,2807,0.0,0.0,7,False,True,1
Probate,1495,"123 Example St, City, State 1495",2015-09-08,2,75.8,0.0,46.69,2014,9590,0.0,0.0,10,True,True,1
Title Issues,1496,"123 Example St, City, State 1496",2017-01-25,4,12.83,0.0,49.2,2025,7962,0.0,0.0,8,True,True,1
Lien,1497,"123 Example St, City, State 1497",2020-01-31,0,39.08,0.0,53.65,2019,6391,0.0,0.0,5,True,True,1
HOA Violations,1498,"123 Example St, City, State 1498",2034-11-09,1,57.18,0.0,30.86,2025,9754,0.0,0.0,-9,True,True,1
Probate,1499,"123 Example St, City, State 1499",2020-03-09,0,70.42,0.0,67.98,2014,9013,0.0,0.0,5,True,True,1
Loan Modification,1500,"123 Example St, City, State 1500",2015-04-05,0,57.49,0.0,33.76,2020,6373,0.0,0.0,10,True,True,1
Foreclosure,1501,"123 Example St, City, State 1501",2028-04-20,4,42.51,0.0,58.45,2022,8649,0.0,0.0,-3,True,True,1
Title Issues,1502,"123 Example St, City, State 1502",2020-02-07,1,71.01,0.0,26.79,2019,1851,0.0,0.0,5,False,True,1
Lien,1503,"123 Example St, City, State 1503",2022-09-30,1,84.49,0.0,43.74,2014,4697,0.0,0.0,3,False,True,1
Bankruptcy,1504,"123 Example St, City, State 1504",2027-06-17,3,70.25,0.0,72.27,2022,5240,0.0,0.0,-2,True,True,1
Probate,1505,"123 Example St, City, State 1505",2015-07-16,1,81.28,0.0,76.88,2016,2178,0.0,0.0,10,False,True,1
HOA Violations,1506,"123 Example St, City, State 1506",2024-04-14,2,84.61,0.0,78.59,2014,8859,0.0,0.0,1,True,True,1
Loan Modification,1507,"123 Example St, City, State 1507",2018-11-10,2,79.79,0.0,36.1,2012,8933,0.0,0.0,7,True,True,1
Property Damage,1508,"123 Example St, City, State 1508",2021-08-29,5,75.28,0.0,31.69,2014,5950,0.0,0.0,4,True,True,1
Lien,1509,"123 Example St, City, State 1509",2018-09-07,2,67.48,0.0,76.69,2028,8638,0.0,0.0,7,True,True,1
Unpaid Taxes,1510,"123 Example St, City, State 1510",2021-04-12,3,57.81,0.0,72.32,2029,5573,0.0,0.0,4,True,True,1
HOA Violations,1511,"123 Example St, City, State 1511",2032-12-22,0,21.62,0.0,21.7,2016,9432,0.0,0.0,-7,True,True,1
Unpaid Taxes,1512,"123 Example St, City, State 1512",2029-08-16,0,33.02,0.0,38.9,2030,1844,0.0,0.0,-4,False,True,0
Unpaid Taxes,1513,"123 Example St, City, State 1513",2024-09-21,5,36.15,0.0,27.69,2020,7174,0.0,0.0,1,True,True,1
Bankruptcy,1514,"123 Example St, City, State 1514",2029-12-30,0,51.09,0.0,72.07,2018,7400,0.0,0.0,-4,True,True,1
Bankruptcy,1515,"123 Example St, City, State 1515",2022-04-12,0,88.82,0.0,42.96,2015,1353,0.0,0.0,3,False,True,1
Loan Modification,1516,"123 Example St, City, State 1516",2015-03-12,5,64.99,0.0,36.91,2017,4001,0.0,0.0,10,False,True,1
Unpaid Taxes,1517,"123 Example St, City, State 1517",2026-12-21,3,53.19,0.0,72.72,2011,8504,0.0,0.0,-1,True,True,1
Bankruptcy,1518,"123 Example St, City, State 1518",2020-08-03,0,22.38,0.0,53.0,2020,8767,0.0,0.0,5,True,True,1
Bankruptcy,1519,"123 Example St, City, State 1519",2023-10-10,4,68.12,0.0,31.0,2023,7719,0.0,0.0,2,True,True,1
Lien,1520,"123 Example St, City, State 1520",2028-04-14,5,14.12,0.0,28.29,2024,2683,0.0,0.0,-3,False,True,1
Loan Modification,1521,"123 Example St, City, State 1521",2028-03-17,5,47.64,0.0,30.26,2021,3730,0.0,0.0,-3,False,True,1
Title Issues,1522,"123 Example St, City, State 1522",2019-10-27,2,54.51,0.0,68.21,2027,2800,0.0,0.0,6,False,True,0
Lien,1523,"123 Example St, City, State 1523",2034-09-03,4,40.36,0.0,35.53,2021,7123,0.0,0.0,-9,True,True,1
Unpaid Taxes,1524,"123 Example St, City, State 1524",2016-05-28,0,94.64,0.0,70.49,2026,8523,0.0,0.0,9,True,True,1
Bankruptcy,1525,"123 Example St, City, State 1525",2031-06-17,0,12.03,0.0,22.23,2027,5970,0.0,0.0,-6,True,True,1
Lien,1526,"123 Example St, City, State 1526",2026-01-14,0,5.48,0.0,31.76,2020,9321,0.0,0.0,-1,True,True,1
Lien,1527,"123 Example St, City, State 1527",2030-02-18,2,6.46,0.0,52.0,2019,8320,0.0,0.0,-5,True,True,1
Short Sale,1528,"123 Example St, City, State 1528",2034-07-09,1,81.31,0.0,39.51,2023,7370,0.0,0.0,-9,True,True,1
Title Issues,1529,"123 Example St, City, State 1529",2020-02-03,0,94.67,0.0,77.96,2017,5853,0.0,0.0,5,True,True,1
Property Damage,1530,"123 Example St, City, State 1530",2031-04-22,2,28.27,0.0,75.48,2014,1961,0.0,0.0,-6,False,True,1
HOA Violations,1531,"123 Example St, City, State 1531",2033-05-22,2,76.51,0.0,26.79,2021,8360,0.0,0.0,-8,True,True,1
Unpaid Taxes,1532,"123 Example St, City, State 1532",2023-03-18,5,34.99,0.0,69.28,2027,9873,0.0,0.0,2,True,True,1
Bankruptcy,1533,"123 Example St, City, State 1533",2024-01-12,2,85.05,0.0,75.74,2028,7480,0.0,0.0,1,True,True,1
Unpaid Taxes,1534,"123 Example St, City, State 1534",2020-10-29,1,60.16,0.0,64.68,2023,6420,0.0,0.0,5,True,True,1
Unpaid Taxes,1535,"123 Example St, City, State 1535",2015-01-27,3,30.51,0.0,50.86,2020,4630,0.0,0.0,10,False,True,1
Foreclosure,1536,"123 Example St, City, State 1536",2027-12-13,0,11.35,0.0,77.27,2015,8955,0.0,0.0,-2,True,True,1
Unpaid Taxes,1537,"123 Example St, City, State 1537",2021-07-21,5,86.92,0.0,52.71,2016,2591,0.0,0.0,4,False,True,1
Short Sale,1538,"123 Example St, City, State 1538",2021-09-20,5,56.26,0.0,34.35,2012,7392,0.0,0.0,4,True,True,1
Lien,1539,"123 Example St, City, State 1539",2020-05-26,5,39.75,0.0,37.35,2028,4564,0.0,0.0,5,False,True,1
Foreclosure,1540,"123 Example St, City, State 1540",2022-08-28,1,70.12,0.0,48.64,2024,7926,0.0,0.0,3,True,True,1
Title Issues,1541,"123 Example St, City, State 1541",2029-08-12,2,45.59,0.0,75.37,2028,1179,0.0,0.0,-4,False,True,0
Bankruptcy,1542,"123 Example St, City, State 1542",2028-02-02,2,93.28,0.0,52.73,2029,8959,0.0,0.0,-3,True,True,1
Short Sale,1543,"123 Example St, City, State 1543",2034-10-05,1,14.72,0.0,76.82,2016,3306,0.0,0.0,-9,False,True,1
Lien,1544,"123 Example St, City, State 1544",2032-07-20,1,64.14,0.0,45.18,2021,9569,0.0,0.0,-7,True,True,1
Property Damage,1545,"123 Example St, City, State 1545",2027-01-29,5,49.97,0.0,24.25,2025,6324,0.0,0.0,-2,True,True,1
HOA Violations,1546,"123 Example St, City, State 1546",2030-03-30,2,17.28,0.0,24.37,2020,7701,0.0,0.0,-5,True,True,1
Bankruptcy,1547,"123 Example St, City, State 1547",2031-04-24,3,8.12,0.0,72.55,2015,2324,0.0,0.0,-6,False,True,1
Unpaid Taxes,1548,"123 Example St, City, State 1548",2018-05-17,3,20.22,0.0,74.04,2025,3176,0.0,0.0,7,False,True,1
Probate,1549,"123 Example St, City, State 1549",2019-10-20,2,62.61,0.0,65.59,2011,4934,0.0,0.0,6,False,True,1
Title Issues,1550,"123 Example St, City, State 1550",2028-12-13,0,85.54,0.0,62.11,2017,4508,0.0,0.0,-3,False,True,1
Loan Modification,1551,"123 Example St, City, State 1551",2025-08-30,3,86.36,0.0,38.55,2016,2266,0.0,0.0,0,False,True,1
Title Issues,1552,"123 Example St, City, State 1552",2015-05-10,0,57.8,0.0,43.41,2019,7161,0.0,0.0,10,True,True,1
Probate,1553,"123 Example St, City, State 1553",2029-05-04,4,10.97,0.0,31.57,2017,4150,0.0,0.0,-4,False,True,1
Foreclosure,1554,"123 Example St, City, State 1554",2022-10-19,4,53.22,0.0,21.7,2026,7380,0.0,0.0,3,True,True,1
HOA Violations,1555,"123 Example St, City, State 1555",2033-02-26,0,74.74,0.0,36.88,2019,7970,0.0,0.0,-8,True,True,1
Lien,1556,"123 Example St, City, State 1556",2015-07-04,2,57.29,0.0,28.86,2030,7662,0.0,0.0,10,True,True,1
Foreclosure,1557,"123 Example St, City, State 1557",2032-11-08,0,70.03,0.0,20.08,2024,5499,0.0,0.0,-7,True,True,1
Property Damage,1558,"123 Example St, City, State 1558",2018-10-21,3,35.58,0.0,44.34,2020,1102,0.0,0.0,7,False,True,1
Loan Modification,1559,"123 Example St, City, State 1559",2025-04-27,2,12.28,0.0,47.6,2024,1248,0.0,0.0,0,False,True,1
Foreclosure,1560,"123 Example St, City, State 1560",2022-09-23,5,45.78,0.0,77.87,2028,9173,0.0,0.0,3,True,True,1
Loan Modification,1561,"123 Example St, City, State 1561",2034-09-22,0,52.13,0.0,40.74,2027,5195,0.0,0.0,-9,True,True,1
Loan Modification,1562,"123 Example St, City, State 1562",2027-05-30,3,71.82,0.0,54.63,2013,2765,0.0,0.0,-2,False,True,1
Foreclosure,1563,"123 Example St, City, State 1563",2033-03-24,4,24.37,0.0,27.17,2020,9289,0.0,0.0,-8,True,True,1
Foreclosure,1564,"123 Example St, City, State 1564",2031-10-13,2,37.35,0.0,51.67,2017,5541,0.0,0.0,-6,True,True,1
Short Sale,1565,"123 Example St, City, State 1565",2034-06-23,1,51.96,0.0,50.1,2011,4938,0.0,0.0,-9,False,True,1
Bankruptcy,1566,"123 Example St, City, State 1566",2030-11-06,4,28.92,0.0,40.57,2010,9790,0.0,0.0,-5,True,True,1
Bankruptcy,1567,"123 Example St, City, State 1567",2016-08-24,5,58.76,0.0,76.07,2021,3863,0.0,0.0,9,False,True,1
Title Issues,1568,"123 Example St, City, State 1568",2020-10-24,5,43.44,0.0,59.99,2010,9120,0.0,0.0,5,True,True,1
Loan Modification,1569,"123 Example St, City, State 1569",2031-02-26,4,71.29,0.0,44.9,2026,2336,0.0,0.0,-6,False,True,1
HOA Violations,1570,"123 Example St, City, State 1570",2023-03-06,5,18.52,0.0,62.45,2027,5527,0.0,0.0,2,True,True,1
Unpaid Taxes,1571,"123 Example St, City, State 1571",2028-12-25,5,54.86,0.0,55.46,2010,4469,0.0,0.0,-3,False,True,1
Short Sale,1572,"123 Example St, City, State 1572",2015-10-21,2,38.96,0.0,76.44,2023,1976,0.0,0.0,10,False,True,0
Lien,1573,"123 Example St, City, State 1573",2021-08-11,1,56.86,0.0,49.44,2028,9102,0.0,0.0,4,True,True,1
Lien,1574,"123 Example St, City, State 1574",2018-10-16,5,58.44,0.0,77.42,2024,7589,0.0,0.0,7,True,True,1
HOA Violations,1575,"123 Example St, City, State 1575",2030-12-08,3,66.47,0.0,24.05,2014,6472,0.0,0.0,-5,True,True,1
Unpaid Taxes,1576,"123 Example St, City, State 1576",2025-04-21,0,45.18,0.0,76.25,2018,7349,0.0,0.0,0,True,True,1
Property Damage,1577,"123 Example St, City, State 1577",2017-03-16,4,80.59,0.0,62.75,2030,6406,0.0,0.0,8,True,True,1
Title Issues,1578,"123 Example St, City, State 1578",2017-08-28,5,45.89,0.0,21.5,2022,1120,0.0,0.0,8,False,True,1
Unpaid Taxes,1579,"123 Example St, City, State 1579",2020-10-24,1,49.6,0.0,32.05,2024,2896,0.0,0.0,5,False,True,0
Property Damage,1580,"123 Example St, City, State 1580",2015-08-13,1,52.12,0.0,74.3,2010,3675,0.0,0.0,10,False,True,1
Property Damage,1581,"123 Example St, City, State 1581",2016-06-15,1,32.05,0.0,34.75,2030,2102,0.0,0.0,9,False,True,0
Short Sale,1582,"123 Example St, City, State 1582",2021-08-15,4,61.19,0.0,41.47,2016,9787,0.0,0.0,4,True,True,1
Short Sale,1583,"123 Example St, City, State 1583",2031-08-20,4,47.83,0.0,44.0,2017,8058,0.0,0.0,-6,True,True,1
Probate,1584,"123 Example St, City, State 1584",2018-05-11,2,60.09,0.0,46.15,2017,5785,0.0,0.0,7,True,True,1
Lien,1585,"123 Example St, City, State 1585",2032-05-08,1,16.24,0.0,27.14,2024,3872,0.0,0.0,-7,False,True,1
Foreclosure,1586,"123 Example St, City, State 1586",2021-12-20,1,52.41,0.0,61.36,2012,4927,0.0,0.0,4,False,True,1
Title Issues,1587,"123 Example St, City, State 1587",2032-04-22,0,24.54,0.0,25.03,2019,7079,0.0,0.0,-7,True,True,1
Lien,1588,"123 Example St, City, State 1588",2030-05-22,1,41.0,0.0,72.47,2020,4483,0.0,0.0,-5,False,True,0
Property Damage,1589,"123 Example St, City, State 1589",2024-12-16,4,26.26,0.0,36.03,2028,7916,0.0,0.0,1,True,True,1
Property Damage,1590,"123 Example St, City, State 1590",2022-09-20,3,69.4,0.0,30.02,2018,9370,0.0,0.0,3,True,True,1
Bankruptcy,1591,"123 Example St, City, State 1591",2030-07-24,0,69.32,0.0,32.23,2025,9148,0.0,0.0,-5,True,True,1
Short Sale,1592,"123 Example St, City, State 1592",2024-10-10,3,77.82,0.0,79.0,2025,2372,0.0,0.0,1,False,True,1
Title Issues,1593,"123 Example St, City, State 1593",2015-08-11,3,72.03,0.0,56.08,2023,2440,0.0,0.0,10,False,True,1
Lien,1594,"123 Example St, City, State 1594",2033-06-30,3,94.05,0.0,39.42,2014,9618,0.0,0.0,-8,True,True,1
Bankruptcy,1595,"123 Example St, City, State 1595",2027-10-05,2,44.57,0.0,75.33,2026,9664,0.0,0.0,-2,True,True,1
Property Damage,1596,"123 Example St, City, State 1596",2022-10-15,4,49.61,0.0,52.0,2015,6183,0.0,0.0,3,True,True,1
Probate,1597,"123 Example St, City, State 1597",2016-06-30,0,32.99,0.0,32.36,2015,8949,0.0,0.0,9,True,True,1
Foreclosure,1598,"123 Example St, City, State 1598",2016-02-25,0,5.97,0.0,24.52,2026,4937,0.0,0.0,9,False,True,1
