Real Estate Home Knowledge,Property ID,Address,Last Sale Date,Previous Owners Count,Equity Percentage,Mortgage Default History,Loan-to-Value (LTV) Ratio,Tax Delinquency Year,Liens Amount,Bankruptcy Status,Foreclosure Status
Bankruptcy,1095,"123 Example St, City, State 1095",2019-11-09,1,27.27,True,68.31,2018,5096,False,False
Probate,1096,"123 Example St, City, State 1096",2033-06-10,5,12.61,False,74.9,2019,5578,True,False
Short Sale,1097,"123 Example St, City, State 1097",2031-03-10,2,36.74,True,76.7,2027,3978,True,True
Probate,1098,"123 Example St, City, State 1098",2016-07-03,4,23.6,True,45.43,2026,6701,False,False
Bankruptcy,1099,"123 Example St, City, State 1099",2029-11-24,5,5.61,False,28.48,2011,9105,True,False
Property Damage,1100,"123 Example St, City, State 1100",2018-01-09,5,6.26,False,53.63,2010,2440,True,False
Loan Modification,1101,"123 Example St, City, State 1101",2017-11-03,3,14.54,True,43.72,2012,9929,False,True
Bankruptcy,1102,"123 Example St, City, State 1102",2015-01-30,2,46.28,True,35.81,2011,1174,True,True
Bankruptcy,1103,"123 Example St, City, State 1103",2022-03-02,1,59.96,False,53.21,2017,5591,False,False
Loan Modification,1104,"123 Example St, City, State 1104",2027-08-29,2,73.34,True,67.4,2013,9567,False,False
Lien,1105,"123 Example St, City, State 1105",2021-04-24,3,41.5,False,24.05,2022,2072,False,True
Loan Modification,1106,"123 Example St, City, State 1106",2031-04-10,5,15.82,False,68.4,2022,5245,True,False
Bankruptcy,1107,"123 Example St, City, State 1107",2016-09-29,1,28.81,True,56.61,2014,1530,True,False
Property Damage,1108,"123 Example St, City, State 1108",2020-06-28,4,80.37,True,76.01,2021,6334,True,False
Loan Modification,1109,"123 Example St, City, State 1109",2027-05-16,5,81.82,False,57.06,2028,7272,False,False
Foreclosure,1110,"123 Example St, City, State 1110",2030-05-07,3,63.45,True,38.73,2028,6986,False,False
Unpaid Taxes,1111,"123 Example St, City, State 1111",2024-05-28,5,92.46,True,72.28,2024,6630,True,False
HOA Violations,1112,"123 Example St, City, State 1112",2015-09-22,4,22.7,True,53.63,2011,2938,True,True
Unpaid Taxes,1113,"123 Example St, City, State 1113",2025-09-21,4,69.45,False,45.62,2022,5616,False,True
Lien,1114,"123 Example St, City, State 1114",2027-08-03,3,68.58,False,34.31,2010,5538,True,False
Loan Modification,1115,"123 Example St, City, State 1115",2026-08-17,5,37.96,False,64.01,2014,1722,False,False
Unpaid Taxes,1116,"123 Example St, City, State 1116",2032-10-12,4,86.58,False,40.33,2023,2062,True,True
Title Issues,1117,"123 Example St, City, State 1117",2027-05-09,4,38.13,True,72.67,2021,4799,True,True
Unpaid Taxes,1118,"123 Example St, City, State 1118",2017-11-14,1,28.71,True,77.21,2016,9895,False,False
Bankruptcy,1119,"123 Example St, City, State 1119",2018-10-07,3,68.88,True,47.96,2026,6227,True,True
Lien,1120,"123 Example St, City, State 1120",2016-10-16,3,49.82,False,65.29,2025,8524,False,False
Unpaid Taxes,1121,"123 Example St, City, State 1121",2027-06-20,4,31.95,True,63.97,2028,1224,True,True
HOA Violations,1122,"123 Example St, City, State 1122",2026-01-18,1,14.46,False,57.85,2017,7872,True,False
Probate,1123,"123 Example St, City, State 1123",2031-11-19,4,7.58,True,20.67,2014,8819,False,False
Unpaid Taxes,1124,"123 Example St, City, State 1124",2018-07-25,3,68.88,False,79.47,2010,8018,False,False
Lien,1125,"123 Example St, City, State 1125",2021-12-11,3,17.17,True,78.43,2027,4997,False,False
HOA Violations,1126,"123 Example St, City, State 1126",2015-12-24,2,48.87,False,22.09,2028,2129,False,True
Short Sale,1127,"123 Example St, City, State 1127",2016-12-19,1,60.95,False,76.34,2012,7749,False,False
Bankruptcy,1128,"123 Example St, City, State 1128",2034-04-24,4,31.09,True,36.93,2020,5015,True,False
Short Sale,1129,"123 Example St, City, State 1129",2030-10-19,4,78.19,False,67.38,2013,5394,False,True
HOA Violations,1130,"123 Example St, City, State 1130",2015-05-28,3,44.7,True,31.34,2017,3570,False,True
HOA Violations,1131,"123 Example St, City, State 1131",2029-11-04,5,33.92,True,64.82,2026,5728,False,True
Short Sale,1132,"123 Example St, City, State 1132",2034-08-25,0,42.18,True,29.36,2021,3716,True,False
Foreclosure,1133,"123 Example St, City, State 1133",2027-01-01,5,9.52,False,75.37,2020,5107,False,False
Probate,1134,"123 Example St, City, State 1134",2023-06-07,1,47.04,True,43.26,2021,6515,False,True
Property Damage,1135,"123 Example St, City, State 1135",2019-07-01,1,83.52,False,33.53,2020,8571,False,True
Probate,1136,"123 Example St, City, State 1136",2032-01-17,3,5.26,True,26.67,2013,5358,True,True
Bankruptcy,1137,"123 Example St, City, State 1137",2017-03-25,0,56.45,True,59.09,2018,1189,True,True
Bankruptcy,1138,"123 Example St, City, State 1138",2024-10-05,0,43.88,True,38.27,2013,6164,False,False
Title Issues,1139,"123 Example St, City, State 1139",2020-01-10,4,14.25,True,54.28,2012,6938,False,True
Property Damage,1140,"123 Example St, City, State 1140",2023-10-26,2,32.47,False,35.75,2026,8082,True,False
Title Issues,1141,"123 Example St, City, State 1141",2015-02-15,1,33.01,True,25.53,2019,7489,True,False
HOA Violations,1142,"123 Example St, City, State 1142",2015-04-14,0,45.13,True,43.63,2023,1733,False,False
Property Damage,1143,"123 Example St, City, State 1143",2021-08-23,5,49.37,False,56.76,2027,6044,True,False
Lien,1144,"123 Example St, City, State 1144",2030-10-05,0,32.82,False,51.68,2024,4626,True,False
Probate,1145,"123 Example St, City, State 1145",2022-12-01,5,18.23,True,24.04,2016,4074,True,True
Unpaid Taxes,1146,"123 Example St, City, State 1146",2029-07-07,2,17.12,False,32.37,2017,1112,False,False
Foreclosure,1147,"123 Example St, City, State 1147",2031-08-21,0,74.95,True,65.92,2027,1247,False,True
Property Damage,1148,"123 Example St, City, State 1148",2033-05-18,0,64.46,False,31.12,2018,7324,False,False
Loan Modification,1149,"123 Example St, City, State 1149",2015-03-05,2,35.85,True,52.33,2026,7426,False,True
Property Damage,1150,"123 Example St, City, State 1150",2027-03-04,0,64.08,False,79.63,2030,9369,False,True
Bankruptcy,1151,"123 Example St, City, State 1151",2018-07-04,5,30.85,True,37.72,2014,7556,True,True
Short Sale,1152,"123 Example St, City, State 1152",2015-10-27,4,38.66,False,21.9,2020,9609,True,True
Loan Modification,1153,"123 Example St, City, State 1153",2018-09-20,4,9.56,True,67.45,2022,1215,True,False
Title Issues,1154,"123 Example St, City, State 1154",2027-12-05,1,31.66,True,33.8,2028,7923,True,False
Title Issues,1155,"123 Example St, City, State 1155",2015-08-07,0,91.32,False,20.59,2025,8190,False,False
Title Issues,1156,"123 Example St, City, State 1156",2020-02-17,1,41.78,False,25.7,2017,1261,False,False
Lien,1157,"123 Example St, City, State 1157",2018-08-26,3,55.38,False,44.52,2020,8133,True,False
Short Sale,1158,"123 Example St, City, State 1158",2031-12-25,3,40.28,True,55.12,2020,8707,False,True
Lien,1159,"123 Example St, City, State 1159",2015-06-13,0,12.13,False,77.75,2029,3799,True,False
Title Issues,1160,"123 Example St, City, State 1160",2017-06-02,0,77.94,True,37.8,2018,6565,False,False
Foreclosure,1161,"123 Example St, City, State 1161",2034-05-15,3,30.82,True,46.15,2011,2673,True,False
Title Issues,1162,"123 Example St, City, State 1162",2019-10-27,1,32.04,True,34.45,2013,9721,False,False
Bankruptcy,1163,"123 Example St, City, State 1163",2020-05-16,1,44.82,True,47.46,2022,1593,False,False
Unpaid Taxes,1164,"123 Example St, City, State 1164",2028-09-20,3,27.38,False,42.6,2028,7776,False,True
Property Damage,1165,"123 Example St, City, State 1165",2033-12-09,0,57.88,True,68.21,2025,5192,True,False
Lien,1166,"123 Example St, City, State 1166",2030-01-15,1,5.12,False,26.55,2010,4977,False,True
Property Damage,1167,"123 Example St, City, State 1167",2028-06-13,1,47.99,False,74.34,2030,6948,True,True
Title Issues,1168,"123 Example St, City, State 1168",2015-09-06,3,42.3,True,41.98,2012,9637,True,True
Loan Modification,1169,"123 Example St, City, State 1169",2029-07-19,2,53.76,True,64.58,2029,3303,True,False
HOA Violations,1170,"123 Example St, City, State 1170",2022-10-26,0,38.69,True,33.19,2017,6574,True,True
Loan Modification,1171,"123 Example St, City, State 1171",2020-09-02,1,32.6,True,72.22,2027,6510,True,True
HOA Violations,1172,"123 Example St, City, State 1172",2016-05-04,2,70.74,False,37.66,2013,4531,True,True
Title Issues,1173,"123 Example St, City, State 1173",2025-11-25,3,77.5,True,56.06,2027,4296,False,True
Unpaid Taxes,1174,"123 Example St, City, State 1174",2029-09-02,0,37.56,True,43.57,2026,3038,True,False
Foreclosure,1175,"123 Example St, City, State 1175",2025-07-27,2,63.95,False,56.5,2029,2411,False,False
Title Issues,1176,"123 Example St, City, State 1176",2025-09-18,3,57.75,False,26.46,2014,9325,False,False
Property Damage,1177,"123 Example St, City, State 1177",2024-06-11,0,88.69,True,44.92,2025,3124,False,True
Foreclosure,1178,"123 Example St, City, State 1178",2020-07-27,3,75.25,True,68.46,2019,6156,False,True
Bankruptcy,1179,"123 Example St, City, State 1179",2029-01-11,2,73.18,False,32.84,2027,6521,True,False
Loan Modification,1180,"123 Example St, City, State 1180",2025-12-26,5,40.61,True,48.97,2010,1223,True,False
Probate,1181,"123 Example St, City, State 1181",2023-01-09,4,13.22,True,24.59,2025,3400,False,True
Bankruptcy,1182,"123 Example St, City, State 1182",2028-05-04,5,59.74,False,30.48,2023,3030,False,True
Foreclosure,1183,"123 Example St, City, State 1183",2027-01-01,5,73.24,True,63.49,2022,4509,False,True
Loan Modification,1184,"123 Example St, City, State 1184",2016-08-09,5,91.92,True,48.42,2013,5097,True,False
Property Damage,1185,"123 Example St, City, State 1185",2029-01-01,4,16.27,False,28.77,2016,3953,True,False
Bankruptcy,1186,"123 Example St, City, State 1186",2033-12-06,3,85.47,False,43.02,2017,9709,True,False
HOA Violations,1187,"123 Example St, City, State 1187",2021-08-27,0,62.71,False,65.77,2024,3406,False,False
Loan Modification,1188,"123 Example St, City, State 1188",2026-06-12,4,5.33,True,58.32,2017,1644,True,True
Foreclosure,1189,"123 Example St, City, State 1189",2033-09-27,4,70.41,True,58.49,2020,6386,False,False
Bankruptcy,1190,"123 Example St, City, State 1190",2028-05-21,4,52.17,False,36.49,2013,5365,True,False
Foreclosure,1191,"123 Example St, City, State 1191",2027-02-28,2,21.26,True,33.38,2010,1974,True,False
Short Sale,1192,"123 Example St, City, State 1192",2019-10-09,4,60.28,True,69.63,2023,8113,True,False
Lien,1193,"123 Example St, City, State 1193",2026-11-18,2,11.0,False,74.57,2026,3423,True,True
Short Sale,1194,"123 Example St, City, State 1194",2033-07-21,5,63.67,True,25.97,2011,6213,False,False
Lien,1195,"123 Example St, City, State 1195",2021-03-04,0,34.53,True,66.6,2020,3891,False,True
Property Damage,1196,"123 Example St, City, State 1196",2030-09-24,1,38.86,True,50.99,2028,6112,False,False
Lien,1197,"123 Example St, City, State 1197",2018-12-07,3,32.18,True,62.28,2024,1613,False,True
Loan Modification,1198,"123 Example St, City, State 1198",2033-05-20,5,71.96,True,63.51,2014,6710,False,True
Foreclosure,1199,"123 Example St, City, State 1199",2021-08-18,1,57.05,True,34.19,2015,6117,False,True
Lien,1200,"123 Example St, City, State 1200",2030-10-26,3,46.35,True,60.65,2016,5133,False,True
Bankruptcy,1201,"123 Example St, City, State 1201",2021-11-17,5,8.09,False,38.16,2021,5740,False,True
Loan Modification,1202,"123 Example St, City, State 1202",2026-01-10,3,47.43,True,27.84,2021,3080,False,True
Property Damage,1203,"123 Example St, City, State 1203",2031-07-31,1,53.43,False,58.33,2019,3285,True,False
Bankruptcy,1204,"123 Example St, City, State 1204",2033-11-12,5,86.57,False,78.95,2020,5012,True,False
Lien,1205,"123 Example St, City, State 1205",2028-02-02,1,65.47,True,68.08,2023,8281,True,True
Probate,1206,"123 Example St, City, State 1206",2032-09-02,5,47.5,True,58.7,2011,1119,False,True
Short Sale,1207,"123 Example St, City, State 1207",2032-11-01,1,25.93,False,59.8,2021,3668,True,False
Unpaid Taxes,1208,"123 Example St, City, State 1208",2023-06-30,4,74.05,True,60.91,2026,2403,False,False
Short Sale,1209,"123 Example St, City, State 1209",2021-11-23,1,61.79,True,41.02,2015,7508,True,False
Probate,1210,"123 Example St, City, State 1210",2030-08-16,4,48.76,True,59.16,2027,3038,True,True
Bankruptcy,1211,"123 Example St, City, State 1211",2022-11-24,5,88.79,True,31.23,2011,8578,True,False
Probate,1212,"123 Example St, City, State 1212",2024-03-15,4,17.67,False,22.35,2010,6015,True,False
Title Issues,1213,"123 Example St, City, State 1213",2022-07-24,3,48.63,True,27.47,2028,8364,False,True
Loan Modification,1214,"123 Example St, City, State 1214",2021-06-28,4,31.13,False,44.61,2019,8202,False,False
Title Issues,1215,"123 Example St, City, State 1215",2022-02-19,1,86.63,True,67.69,2021,8590,False,True
Bankruptcy,1216,"123 Example St, City, State 1216",2030-05-16,2,21.58,True,68.85,2016,8805,False,False
Unpaid Taxes,1217,"123 Example St, City, State 1217",2024-01-28,4,55.62,True,53.38,2010,9601,True,True
Probate,1218,"123 Example St, City, State 1218",2029-06-08,1,43.87,False,72.94,2021,8482,False,False
Title Issues,1219,"123 Example St, City, State 1219",2030-09-02,4,61.26,False,79.19,2019,6539,False,False
Foreclosure,1220,"123 Example St, City, State 1220",2019-12-15,0,48.07,False,25.55,2020,4523,True,True
HOA Violations,1221,"123 Example St, City, State 1221",2034-04-08,3,31.82,False,73.5,2015,7977,False,True
Lien,1222,"123 Example St, City, State 1222",2021-08-08,5,86.26,False,34.31,2027,6448,False,False
Foreclosure,1223,"123 Example St, City, State 1223",2024-02-01,4,8.08,True,41.39,2016,9410,True,False
Foreclosure,1224,"123 Example St, City, State 1224",2018-12-29,1,54.83,False,63.16,2024,3763,False,True
Short Sale,1225,"123 Example St, City, State 1225",2028-06-06,2,88.94,False,66.99,2024,3758,True,False
Lien,1226,"123 Example St, City, State 1226",2016-02-23,1,11.08,False,25.13,2012,2506,False,True
Short Sale,1227,"123 Example St, City, State 1227",2029-06-20,5,19.54,False,72.33,2020,5060,True,False
HOA Violations,1228,"123 Example St, City, State 1228",2031-05-17,3,13.99,False,50.39,2023,6256,True,True
Short Sale,1229,"123 Example St, City, State 1229",2015-02-12,2,6.31,True,58.35,2022,2736,True,False
Foreclosure,1230,"123 Example St, City, State 1230",2026-01-18,1,89.44,True,63.84,2027,2054,False,False
Probate,1231,"123 Example St, City, State 1231",2024-12-05,1,37.05,False,57.27,2022,9583,True,True
Foreclosure,1232,"123 Example St, City, State 1232",2026-11-27,3,20.07,True,63.31,2028,7403,True,True
Unpaid Taxes,1233,"123 Example St, City, State 1233",2023-03-10,0,31.89,True,30.64,2011,4979,True,False
Short Sale,1234,"123 Example St, City, State 1234",2033-03-02,1,53.22,True,25.76,2027,4337,True,True
Title Issues,1235,"123 Example St, City, State 1235",2025-05-28,5,46.57,False,38.79,2010,5410,False,False
Foreclosure,1236,"123 Example St, City, State 1236",2025-12-30,0,9.13,True,27.49,2011,7385,False,False
Unpaid Taxes,1237,"123 Example St, City, State 1237",2027-09-13,3,63.13,True,23.49,2022,9069,False,False
Property Damage,1238,"123 Example St, City, State 1238",2026-02-13,2,61.81,True,73.38,2010,7173,False,True
Lien,1239,"123 Example St, City, State 1239",2034-11-30,4,38.16,True,30.38,2028,9956,False,True
Short Sale,1240,"123 Example St, City, State 1240",2031-10-28,2,81.59,True,60.96,2024,5018,True,True
Unpaid Taxes,1241,"123 Example St, City, State 1241",2024-06-14,0,57.16,False,59.87,2026,3368,False,True
Probate,1242,"123 Example St, City, State 1242",2026-01-28,3,8.03,True,47.11,2012,5051,False,False
Loan Modification,1243,"123 Example St, City, State 1243",2033-07-14,4,79.68,False,44.05,2021,4859,False,True
Unpaid Taxes,1244,"123 Example St, City, State 1244",2033-12-27,0,63.22,False,53.6,2019,1055,False,True
Foreclosure,1245,"123 Example St, City, State 1245",2023-01-30,0,39.89,True,25.79,2013,4105,True,False
Property Damage,1246,"123 Example St, City, State 1246",2018-11-26,1,65.18,True,48.28,2014,9391,True,True
Bankruptcy,1247,"123 Example St, City, State 1247",2023-04-11,1,5.08,True,27.56,2020,9127,True,False
Property Damage,1248,"123 Example St, City, State 1248",2018-02-23,2,87.82,True,63.95,2013,5100,False,False
Short Sale,1249,"123 Example St, City, State 1249",2024-05-14,3,42.66,False,66.77,2019,9379,True,False
Short Sale,1250,"123 Example St, City, State 1250",2026-12-15,3,48.26,False,36.61,2013,5535,True,False
Property Damage,1251,"123 Example St, City, State 1251",2023-03-01,2,44.17,False,71.67,2021,2718,False,False
Short Sale,1252,"123 Example St, City, State 1252",2019-06-02,0,6.61,True,67.3,2029,5236,False,False
Lien,1253,"123 Example St, City, State 1253",2034-08-11,4,69.83,True,50.33,2026,5767,True,False
Bankruptcy,1254,"123 Example St, City, State 1254",2033-08-23,1,20.44,False,74.11,2010,6693,False,False
HOA Violations,1255,"123 Example St, City, State 1255",2024-11-13,0,90.93,False,36.41,2012,5399,False,False
Probate,1256,"123 Example St, City, State 1256",2018-07-15,4,18.72,True,41.01,2011,6849,True,True
Probate,1257,"123 Example St, City, State 1257",2018-02-06,4,12.16,True,26.17,2011,8092,True,False
Short Sale,1258,"123 Example St, City, State 1258",2031-05-12,3,93.23,True,58.67,2019,7571,False,True
Foreclosure,1259,"123 Example St, City, State 1259",2034-06-14,2,38.69,True,45.81,2029,6787,True,False
Lien,1260,"123 Example St, City, State 1260",2031-08-12,1,18.44,True,28.5,2010,9948,True,False
Loan Modification,1261,"123 Example St, City, State 1261",2028-12-17,2,75.11,False,76.75,2026,2710,False,True
Foreclosure,1262,"123 Example St, City, State 1262",2030-10-02,4,71.3,True,25.58,2024,4634,False,True
Title Issues,1263,"123 Example St, City, State 1263",2027-10-21,1,39.67,True,52.07,2028,7616,True,True
Bankruptcy,1264,"123 Example St, City, State 1264",2021-10-29,2,13.74,True,73.9,2019,5612,True,False
Unpaid Taxes,1265,"123 Example St, City, State 1265",2022-04-18,3,39.09,True,31.18,2014,2428,True,False
Probate,1266,"123 Example St, City, State 1266",2025-12-20,0,65.36,True,24.4,2022,6391,False,False
Unpaid Taxes,1267,"123 Example St, City, State 1267",2028-10-29,3,71.91,False,26.02,2030,8710,True,True
Short Sale,1268,"123 Example St, City, State 1268",2019-02-16,1,12.05,False,66.59,2019,3744,False,False
Loan Modification,1269,"123 Example St, City, State 1269",2028-07-10,0,78.15,True,50.2,2026,9101,False,True
Probate,1270,"123 Example St, City, State 1270",2031-12-11,5,6.9,True,31.03,2011,3262,False,True
Lien,1271,"123 Example St, City, State 1271",2028-06-27,3,67.74,False,50.87,2023,8070,False,True
Title Issues,1272,"123 Example St, City, State 1272",2017-07-19,2,35.52,False,69.01,2019,7800,True,True
Foreclosure,1273,"123 Example St, City, State 1273",2027-11-09,5,12.97,False,52.81,2024,5656,True,False
Probate,1274,"123 Example St, City, State 1274",2015-10-22,5,12.84,True,76.2,2030,1985,False,True
Loan Modification,1275,"123 Example St, City, State 1275",2024-05-02,4,55.47,False,29.11,2014,7021,True,False
Property Damage,1276,"123 Example St, City, State 1276",2032-04-18,0,86.79,False,59.94,2023,6258,False,False
Short Sale,1277,"123 Example St, City, State 1277",2032-11-14,3,11.42,True,21.74,2019,4150,False,True
Probate,1278,"123 Example St, City, State 1278",2029-03-03,4,60.03,True,41.15,2013,6180,False,True
Short Sale,1279,"123 Example St, City, State 1279",2029-06-07,3,54.67,True,54.89,2020,1393,True,False
Foreclosure,1280,"123 Example St, City, State 1280",2034-05-21,4,74.39,True,66.45,2018,9552,True,True
Unpaid Taxes,1281,"123 Example St, City, State 1281",2032-09-04,4,78.36,False,68.33,2011,4314,True,False
Short Sale,1282,"123 Example St, City, State 1282",2019-03-19,2,54.45,True,63.09,2011,7212,False,False
Short Sale,1283,"123 Example St, City, State 1283",2016-11-28,0,27.03,True,74.21,2026,6371,True,False
HOA Violations,1284,"123 Example St, City, State 1284",2019-01-24,2,53.19,False,28.41,2026,4553,False,False
Loan Modification,1285,"123 Example St, City, State 1285",2034-10-22,1,55.07,False,30.18,2015,5981,True,True
Probate,1286,"123 Example St, City, State 1286",2027-08-01,4,43.07,False,57.67,2010,9378,True,True
Foreclosure,1287,"123 Example St, City, State 1287",2031-12-31,1,43.52,False,55.85,2015,4482,False,False
Probate,1288,"123 Example St, City, State 1288",2027-03-19,3,55.73,False,63.56,2020,4706,False,True
Title Issues,1289,"123 Example St, City, State 1289",2025-02-25,4,28.46,True,35.81,2029,8902,True,True
Title Issues,1290,"123 Example St, City, State 1290",2020-08-08,5,60.77,False,53.74,2023,5041,True,False
Foreclosure,1291,"123 Example St, City, State 1291",2028-01-05,5,40.82,False,53.45,2019,1743,True,True
Property Damage,1292,"123 Example St, City, State 1292",2023-06-25,2,31.88,False,63.37,2025,5638,False,True
Lien,1293,"123 Example St, City, State 1293",2021-02-08,1,31.27,False,20.92,2012,6374,True,True
Foreclosure,1294,"123 Example St, City, State 1294",2020-11-05,2,92.73,True,32.87,2015,8984,True,False
Property Damage,1295,"123 Example St, City, State 1295",2027-07-12,0,36.39,False,59.75,2021,5096,True,True
Loan Modification,1296,"123 Example St, City, State 1296",2025-12-16,4,32.26,False,50.83,2016,7752,False,True
Short Sale,1297,"123 Example St, City, State 1297",2015-06-25,2,76.72,False,28.8,2026,5792,False,True
HOA Violations,1298,"123 Example St, City, State 1298",2020-12-22,3,63.1,True,37.36,2026,3109,True,True
Property Damage,1299,"123 Example St, City, State 1299",2031-05-13,2,81.89,True,43.38,2015,5658,False,True
Bankruptcy,1300,"123 Example St, City, State 1300",2033-11-17,1,17.05,False,21.6,2022,9828,True,True
Loan Modification,1301,"123 Example St, City, State 1301",2019-09-12,5,11.02,True,24.14,2013,5268,True,True
HOA Violations,1302,"123 Example St, City, State 1302",2020-09-01,0,71.22,False,70.59,2024,7918,False,True
Bankruptcy,1303,"123 Example St, City, State 1303",2029-10-23,0,58.65,True,29.57,2013,7636,False,False
Property Damage,1304,"123 Example St, City, State 1304",2018-06-02,4,14.59,True,78.22,2024,3541,True,True
HOA Violations,1305,"123 Example St, City, State 1305",2026-10-09,0,72.07,True,67.84,2012,8030,False,True
Lien,1306,"123 Example St, City, State 1306",2025-05-04,0,47.22,False,38.52,2028,9463,False,False
Foreclosure,1307,"123 Example St, City, State 1307",2031-02-06,2,59.62,True,21.68,2028,5457,True,True
Title Issues,1308,"123 Example St, City, State 1308",2025-05-29,5,11.58,True,27.57,2013,9682,True,True
Lien,1309,"123 Example St, City, State 1309",2032-04-19,0,60.5,False,36.01,2027,9157,True,True
Foreclosure,1310,"123 Example St, City, State 1310",2022-12-03,5,59.08,True,71.22,2029,8181,False,True
Probate,1311,"123 Example St, City, State 1311",2022-05-31,2,11.43,False,33.88,2019,2186,False,False
Foreclosure,1312,"123 Example St, City, State 1312",2017-06-09,2,36.35,True,39.17,2021,3721,True,True
HOA Violations,1313,"123 Example St, City, State 1313",2033-10-24,0,89.81,False,32.67,2011,9627,True,False
Lien,1314,"123 Example St, City, State 1314",2024-06-08,1,12.06,True,37.12,2016,5178,True,True
Unpaid Taxes,1315,"123 Example St, City, State 1315",2026-04-07,2,32.4,False,37.3,2017,2557,False,True
Bankruptcy,1316,"123 Example St, City, State 1316",2032-05-15,3,40.05,False,66.94,2023,3813,True,True
Short Sale,1317,"123 Example St, City, State 1317",2021-10-02,4,76.31,True,50.15,2020,4625,True,False
HOA Violations,1318,"123 Example St, City, State 1318",2029-05-25,2,26.55,True,27.9,2028,7139,False,True
Short Sale,1319,"123 Example St, City, State 1319",2019-06-03,2,28.1,False,24.82,2026,5015,False,False
Lien,1320,"123 Example St, City, State 1320",2023-10-26,5,93.05,False,73.73,2012,2545,False,False
HOA Violations,1321,"123 Example St, City, State 1321",2032-02-05,5,6.59,False,76.7,2011,1556,False,False
Lien,1322,"123 Example St, City, State 1322",2034-04-10,3,12.77,True,33.98,2023,5551,False,False
Foreclosure,1323,"123 Example St, City, State 1323",2029-09-12,5,13.26,False,47.67,2022,5884,False,False
Loan Modification,1324,"123 Example St, City, State 1324",2017-07-22,3,53.31,True,30.59,2026,1792,False,False
Bankruptcy,1325,"123 Example St, City, State 1325",2023-05-30,3,91.51,True,78.76,2015,4745,False,True
Unpaid Taxes,1326,"123 Example St, City, State 1326",2030-02-22,0,57.62,False,23.26,2026,4946,False,True
Loan Modification,1327,"123 Example St, City, State 1327",2030-02-02,4,69.74,True,56.73,2030,1305,True,False
Probate,1328,"123 Example St, City, State 1328",2033-01-09,5,40.87,True,61.03,2020,9424,False,True
Property Damage,1329,"123 Example St, City, State 1329",2015-10-08,2,93.44,False,78.85,2011,7054,False,True
Unpaid Taxes,1330,"123 Example St, City, State 1330",2032-03-30,2,91.02,True,36.43,2019,1515,False,True
Lien,1331,"123 Example St, City, State 1331",2031-07-25,2,9.09,False,38.34,2013,5347,True,False
HOA Violations,1332,"123 Example St, City, State 1332",2017-12-05,1,88.56,True,22.03,2019,4647,False,False
Title Issues,1333,"123 Example St, City, State 1333",2022-05-25,1,19.6,False,24.68,2027,3003,False,True
Short Sale,1334,"123 Example St, City, State 1334",2015-04-24,0,11.75,False,21.52,2015,3769,True,True
Property Damage,1335,"123 Example St, City, State 1335",2017-07-24,3,56.07,False,33.43,2013,5528,False,False
Bankruptcy,1336,"123 Example St, City, State 1336",2017-10-18,5,82.13,False,63.96,2014,7894,False,True
Bankruptcy,1337,"123 Example St, City, State 1337",2025-10-24,2,46.25,True,68.6,2013,4466,False,True
Lien,1338,"123 Example St, City, State 1338",2022-04-14,5,12.17,False,57.61,2025,1425,False,False
Foreclosure,1339,"123 Example St, City, State 1339",2017-11-05,1,6.88,False,58.91,2027,1537,True,True
Short Sale,1340,"123 Example St, City, State 1340",2027-11-27,0,53.3,True,29.17,2019,1918,False,False
Probate,1341,"123 Example St, City, State 1341",2032-08-27,4,91.99,True,66.57,2026,8813,False,False
Unpaid Taxes,1342,"123 Example St, City, State 1342",2028-08-25,4,90.84,True,55.65,2018,4948,False,False
Loan Modification,1343,"123 Example St, City, State 1343",2029-10-15,1,68.76,True,79.01,2011,7489,True,True
Short Sale,1344,"123 Example St, City, State 1344",2016-12-16,0,56.65,False,62.29,2028,3982,True,False
Lien,1345,"123 Example St, City, State 1345",2031-01-31,4,59.44,False,43.37,2019,4805,False,True
Bankruptcy,1346,"123 Example St, City, State 1346",2026-08-09,4,27.38,True,26.74,2010,1322,True,True
HOA Violations,1347,"123 Example St, City, State 1347",2024-11-11,5,17.05,True,21.23,2028,5119,True,False
HOA Violations,1348,"123 Example St, City, State 1348",2018-10-09,3,52.63,False,59.1,2026,6306,False,True
HOA Violations,1349,"123 Example St, City, State 1349",2031-07-29,4,36.07,False,74.03,2020,6672,True,True
Unpaid Taxes,1350,"123 Example St, City, State 1350",2015-04-05,0,6.22,False,75.7,2018,5835,False,False
Lien,1351,"123 Example St, City, State 1351",2023-08-24,3,34.39,True,72.21,2014,6082,True,True
Unpaid Taxes,1352,"123 Example St, City, State 1352",2027-07-13,3,59.89,False,72.55,2028,1414,True,True
HOA Violations,1353,"123 Example St, City, State 1353",2016-05-13,1,64.54,True,66.53,2019,8668,False,False
HOA Violations,1354,"123 Example St, City, State 1354",2025-04-06,5,29.99,False,32.02,2020,1447,True,False
Foreclosure,1355,"123 Example St, City, State 1355",2021-07-16,2,50.47,False,57.63,2011,2580,True,False
Loan Modification,1356,"123 Example St, City, State 1356",2027-11-16,0,6.59,False,64.7,2011,7902,True,True
Unpaid Taxes,1357,"123 Example St, City, State 1357",2015-12-19,1,65.58,False,54.65,2013,6659,False,False
Short Sale,1358,"123 Example St, City, State 1358",2024-07-08,5,22.27,True,52.17,2014,4314,True,True
